Iowa,February 1,44 (8),23,21
New Hampshire,February 9,24 (8),9,15
Nevada,February 20,35 (8),19,15
South Carolina,February 27,53 (6),39,14
Alabama,March 1,53 (7),44,9
American Samoa,March 1,6 (4),,
Arkansas,March 1,32 (5),22,10
Colorado,March 1,66 (13),28,38
Democrats Abroad,March 1-8,13 (4),,
Georgia,March 1,102 (14),72,28
Massachusetts,March 1,91 (25),46,45
Minnesota,March 1,77 (16),29,46
Oklahoma,March 1,38 (4),17,21
Tennessee,March 1,67 (9),42,22
Texas,March 1,222 (30),145,74
Vermont,March 1,16 (10),0,16
Virginia,March 1,95 (15),61,33
Louisiana,March 5,51 (8),35,12
Nebraska,March 5,25 (5),10,14
Kansas,March 5,33 (4),10,23
Maine,March 6,25 (5),7,15
Mississippi,March 8,36 (5),30,4
Michigan,March 8,130 (17),60,67
Northern Marianas,March 12,6 (5),,
Florida,March 15,214 (32),133,65
Illinois,March 15,156 (26),73,70
Missouri,March 15,71 (13),34,34
North Carolina,March 15,107 (14),59,45
Ohio,March 15,143 (16),80,62
Arizona,March 22,75 (10),,
Idaho,March 22,23 (4),,
Utah,March 22,33 (4),,
Alaska,March 26,16 (4),,
Hawaii,March 26,25 (9),,
Washington,March 26,101 (17),,
Wisconsin,April 5,86 (10),,
Wyoming,April 9,14 (4),,
New York,April 19,247 (44),,
Maryland,April 26,95 (23),,
Connecticut,April 26,55 (15),,
Delaware,April 26,21 (10),,
Pennsylvania,April 26,189 (21),,
Rhode Island,April 26,24 (9),,
Indiana,May 3,83 (9),,
Guam,May 7,7 (5),,
West Virginia,May 10,29 (8),,
Kentucky,May 17,55 (5),,
Oregon,May 17,61 (13),,
Virgin Islands,June 4,7 (5),,
Puerto Rico,June 5,60 (7),,
California,June 7,475 (71),,
Montana,June 7,21 (6),,
New Jersey,June 7,126 (16),,
North Dakota,June 7,18 (5),,
New Mexico,June 7,34 (9),,
South Dakota,June 7,20 (5),,
District of Columbia,June 14,20 (25),,
