State,Date,Delegates,Trump,Cruz,Rubio,Kasich
Iowa,February 1,30,7,8,7,1
New Hampshire,February 9,23,11,3,2,4
South Carolina,February 20,50,50,0,0,0
Nevada,February 23,30,14,6,7,1
Alabama,March 1,50,36,13,1,0
Alaska,March 1,28,11,12,5,0
Arkansas,March 1,40,16,14,9,0
Georgia,March 1,76,40,18,14,0
Massachusetts,March 1,42,22,4,8,8
Minnesota,March 1,38,8,13,17,0
Oklahoma,March 1,43,13,15,12,0
Tennessee,March 1,58,33,16,9,0
Texas,March 1,155,48,104,3,0
Vermont,March 1,16,8,0,0,8
Virginia,March 1,49,17,8,16,5
Colorado1,March 1,37,,,,
Kansas,March 5,40,9,24,6,1
Kentucky,March 5,46,17,15,7,7
Louisiana,March 5,46,18,18,5,0
Maine,March 5,23,9,12,0,2
Puerto Rico,March 6,23,0,0,23,0
Hawaii,March 8,19,11,7,1,0
Idaho,March 8,32,12,20,0,0
Michigan,March 8,59,25,17,0,17
Mississippi,March 8,40,24,13,0,0
Virgin Islands,March 10,9,,,,
Wyoming1,March 12,29,1,9,1,0
Guam,March 12,9,0,1,0,0
District of Columbia,March 12,19,0,0,10,9
Florida,March 15,99,99,0,0,0
Illinois,March 15,69,53,9,0,5
Missouri,March 15,52,25,5,0,0
North Carolina,March 15,72,29,27,6,9
Northern Marianas,March 15,9,9,0,0,0
Ohio,March 15,66,0,0,0,66
American Samoa,March 22,9,,,,
Arizona,March 22,58,,,,
Utah,March 22,40,,,,
North Dakota,April 1,28,,,,
Wisconsin,April 5,42,,,,
New York,April 19,95,,,,
Connecticut,April 26,28,,,,
Delaware,April 26,16,,,,
Maryland,April 26,38,,,,
Pennsylvania,April 26,71,,,,
Rhode Island,April 26,19,,,,
Indiana,May 3,57,,,,
Nebraska,May 10,36,,,,
West Virginia,May 10,34,,,,
Oregon,May 17,28,,,,
Washington,May 24,44,,,,
California,June 7,172,,,,
Montana,June 7,27,,,,
New Jersey,June 7,51,,,,
New Mexico,June 7,24,,,,
South Dakota,June 7,29,,,,
